Reference,Value,Quantity,Manf Part #,Digikey Part #,1,10,100,1000,Qty Avail,Link
"R11,R12",1K,2,RC0805JR-071KL,311-1.0KARCT-ND,0.1,0.019,0.0076,0.00341,1833028,https://www.digikey.com/products/en?keywords=311-1.0KARCT-ND
"C1,C2",.033u,2,08055C333KAT2A,478-1389-1-ND,0.1,0.058,0.026,0.01461,3579012000,https://www.digikey.com/products/en?keywords=478-1389-1-ND
"RV1,RV2",Varistor,2,B72660M0251K072,495-7116-1-ND,1.05,0.929,0.7343,0.4496,3142,https://www.digikey.com/products/en?keywords=495-7116-1-ND
L1,Ferrite_Bead_Small,1,HI1206T500R-10,240-2412-1-ND,0.1,0.079,0.0473,0.02721,631692,https://www.digikey.com/products/en?keywords=240-2412-1-ND
F1,Polyfuse,1,LVR005NK,LVR005NK-ND,0.6,0.567,0.396,0.27,989,https://www.digikey.com/products/en?keywords=LVR005NK-ND
"R1,R2",12,2,RL1220S-120-F,408-1392-1-ND,0.38,0.318,0.1242,0.05198,10769,https://www.digikey.com/products/en?keywords=408-1392-1-ND
R13,330,1,RMCF0805JT330R,RMCF0805JT330RCT-ND,0.1,0.017,0.0067,0.00303,84677,https://www.digikey.com/products/en?keywords=RMCF0805JT330RCT-ND
D2,IND_LED,1,LTST-C150GKT,160-1169-1-ND,0.34,0.252,0.1326,0.0623,261873,https://www.digikey.com/products/en?keywords=160-1169-1-ND
"R3,R5,R7,R9,R4,R6,R8,R10",220K,8,CHV1206-JW-224ELF,CHV1206-JW-224ELFCT-ND,0.34,0.289,0.1129,0.04726,24022,https://www.digikey.com/products/en?keywords=CHV1206-JW-224ELFCT-ND
U1,120VAC->3.3VDC REG,1,RAC03-3.3SGA,945-3083-5-ND,8.66,8.415,7.6725,7.6725,0160,https://www.digikey.com/products/en?keywords=RAC03-3.3SGA
"C5,C3",.001u,2,202R18W102KV4E,709-1036-1-ND,0.14,0.1,0.0468,0.02716,541717,https://www.digikey.com/products/en?keywords=709-1036-1-ND
C4,.1u,1,GRM32DR72H104KW10L,490-14472-1-ND,0.36,0.252,0.151,0.151,678,https://www.digikey.com/products/en?keywords=490-14472-1-ND
U2,dc-dc,1,CRE1S0505S3C,811-3195-ND,2.69,2.66,2.43,2.1147,669,https://www.digikey.com/products/en?keywords=CRE1S0505S3C
"J2,J3",TRS3.5Female,2,SJ-3523-SMT-TR,CP-3523SJCT-ND,1.02,0.9,0.7768,0.7768,142589,https://www.digikey.com/products/en?keywords=CP-3523SJCT-ND
J1,Conn_01x03,1,OSTTE030161,ED2636-ND,1.0,0.624,0.47,0.34,3042,https://www.digikey.com/products/en?keywords=OSTTE030161
"C11,C12,C8,C20,C21,C17,C6,C7,C22",.1u,9,CL21F104ZBCNNNC,1276-1007-1-ND,0.1,0.031,0.014,0.00783,7076,https://www.digikey.com/products/en?keywords=1276-1007-1-ND
"C9,C10,C18,C19",10u,4,CL21A106KQCLRNC,1276-2405-1-ND,0.1,0.067,0.0299,0.01679,,https://www.digikey.com/products/en?keywords=1276-2405-1-ND
"Y1,Y2",Crystal_Small,2,535-9865-1-ND,535-9865-1-ND,0.46,0.385,0.308,0.308,5924,https://www.digikey.com/products/en?keywords=535-9865-1-ND
"C13,C14,C15,C16",18p,4,CL21C180JBANNNC,1276-1107-1-ND,0.1,0.048,0.0216,0.0121,182886,https://www.digikey.com/products/en?keywords=1276-1107-1-ND
L2,L_Core_Ferrite_Small,1,MH2029-601Y,MH2029-601YCT-ND,0.1,0.065,0.0392,0.02257,404211,https://www.digikey.com/products/en?keywords=MH2029-601YCT-ND
L3,L_Core_Ferrite_Small,1,BLM15AG100SN1D,490-5176-1-ND,0.1,0.076,0.0436,0.02446,84881,https://www.digikey.com/products/en?keywords=490-5176-1-ND
"R14,R15,R16,R17,R19,R20,R21,R22,R23,R18",51,10,RMCF0805JT51R0,RMCF0805JT51R0CT-ND,0.1,0.017,0.0067,0.00303,267875,https://www.digikey.com/products/en?keywords=RMCF0805JT51R0CT-ND
R24,10K,1,C0805JR-0710KL,311-10KARCT-ND,0.1,0.019,0.0076,0.00341,4317154,https://www.digikey.com/products/en?keywords=311-10KARCT-ND
"M2,M1",ATM90E26_ATM90E26,2,ATM90E26-YU-B,ATM90E26-YU-B-ND,0.97,0.97,0.8531,0.8531,6834,https://www.digikey.com/products/en?keywords=ATM90E26-YU-B
U3,Si865,1,SI8652AB-B-IS1,336-4164-ND,2.0,2.0,1.8532,1.7289,48,https://www.digikey.com/products/en?keywords=336-4164-ND
